titulo,texto
Calendário JPB  - praça do Ernani Sátiro está abandonada-5670399.wav,volta equip capit jeito mato lixo condiçõ última alguém conserto manutenção pessoa lazer criança criança criança germ cachorro ferro cavalo anim condiçõ caminhada rodeio venho pronto pracinha pequeno volta idosa crech frent criança jeito jeito criança hora pagamo pagamo direito cidadão cheio mato buraco quadra quadra areia comunidad criança futebol vôlei comunidad important quadra quadra espaço prática musculação precisamo direito praça dona pessoa pertinho vontad caminhada condiçõ buraco condiçõ
"Calendário JPB mostra construção de creche nos Bancários, em João Pessoa-5708324.wav",feliz construção crech capit inauguração 2014 conversa visita situação olha linda crech cara crech frent mont criança casa cara crech rápido criança obra pensamento contato município obra acabamento instalaçõ hidráulica calçada mãe criança segurança previsão construtora obra pertinho data sonho sonho mãe obra exatament feliz volta carimbo andamento certo negócio carinho gostinho obra força total
Calendário JPB - ruas sem nome causam transtornos para moradores da Zona Oeste-5812812.wav,hora correspondência polícia pizza tarefa fácei conjunto rua nome grisi chamado especi conjunto única referência quadra assistent motorista carro pouquinho direto quadra endereço difícil correspondência conjunto nome transport urbano pracinha posto saúd situação precária princip dificuldad rua nome correspondência referência difícil visita endereço minutinho serra pino responsável carteira correspondência água direito hora leitura hora leitura conta conta conta casa nome correspondência
Calendário JPB volta ao Conjunto Esplanada-5058901.wav,situação prejuízo bolso risco vida buraco important visita situação imagen foto pedido última reportagem secretaria infraestrutura operação tapa-buraco extremidad ponta ponta serviço decisão comunidad diferença facilidad alívio coração comunidad pouquinho vida buraco serviço fiscalização recapeamento herói capa seguida faixa part faixa pedestr presença rapaz faixa história atenção autoridad atendeu trecho operação tapa-buraco decisão comunidad conosco coisa pontuai atenção conosco necessário
Calendário JPB volta a UBS de Oitizeiro e encontra gente trabalhando-7670080.wav,algun região unidad básica saúd obra equip janeiro visita obra obra unidad básica saúd arma placa negócio trist choco comunidad coração alegria negócio feijão feira pagamento trabalho semana hospit morador ordem show bola irmão serviço divisão obra brincadeira limpeza mato todinho bicho brincadeira cobra rato barata imaginass corpo peão melhor frent esperança frent pessoa firma pessoa mato bonito mato rejunt tijolo responsável construtora adiantamento serviço serviço água ligação água obra ligação segmento mato rejunt interna aluno água vizinho casinha caixinha relógio água ligação obra
Calendário JPB visita escola onde um muro pela metade está causando insegurança-5396280.wav,simpl muro escola cobrança distrito falta segurança insegurança medo medo joven situação séria adoro escola estadu distrito professor estudant negócio segurança construção seguint imensa problema início construção muro escola fato segurança evident muro situação professor matemática escola turno muro muro metad segurança princip portão porteiro presença pessoa caso assalto quarta-feira noit salão aula moto assalto arrastão pessoa escola colega polici aula professor lembro história aram pessoa escola hora seguint aluno professor pai aluno segurança escola inseguro
Moradores esperam por poda de árvores há 5 meses em João Pessoa-7737959.wav,casa rosemira contato poda árvore fiação energisa força branquinha
Calendário JPB mostra melhorias em rua de Oitizeiro-5580726.wav,tempinho preciso fevereiro estrutura coleção buraco causa chuva post casa risco situação feia jeito bora página quem coisa situação cort verdad coração enorm cheio lixo post buraco conta tubulação conta buraco motivo preocupação ligação rua tamanha buraqueira mulher respeito veículo problema enorm suja casa chuva período festa lama escorregadia acident cratera secretaria infraestrutura município pedido risco obra drenagem espaço água escoar água calçamento venda água vitória solução definitiva calçamento boca lobo resíduo água
Calendário JPB resolvido-7617473.wav,dose dupla mercado notícia ruim melhorada longo reportagem notícia janeiro infraestrutura verdadeiro cao visita carimbo trabalho serviço sala assistent social ventilador sacola plástica gambiarra pintura jeito lâmpada ambient agradável pessoa serviço sala administrativo passadinha rápida converso sala psicóloga serviço important horário almoço vergonha cuidado cheio cabo conselheiro sala amigo diferent computador enfeit carn computador espaço dignidad sala tema infanti fiação louco único ar-condicionado carn passeada carrinho casa torção cardosinho garoto sala computador enfeit situação computador sala atendimento sala administrativa previsão serviço social quantidad ministrador frent casa fácil armário mobília sucata utensílio negócio porta porta respeito vergonha verdad porta
'Calendário JPB' volta a escola do Bairro dos Novais onde alunos querem quadra esportiva-6161122.wav,hora feliz carinho caso pai aluno reforma quadra esport governo reforma escola quadra novidad quadra ginásio novinho impossível cenário difícil quadra segurança comunidad canteiro obra ginásio novinho diretor opçõ quadra quadra telha quadra direção risco acident filho luta coisa boa escola escola chega gosto reforma quadra construção ginásio comunidad escola transformação transformação escola escola comunidad teatro comemoração apresentaçõ culturai mont coisa boa história carimbo andamento gostinho vitória
Calendário JPB dessa segunda-feira-4382558.wav,hora semana equip antigo pont junto margen passagem pont móvel velho chuva materi mulher mulher perna padr ônibu trabalho moto bicicleta trecho comunidad capit metal segurança comunidad travessia perigoso noit trabalho ninguém senhora pont filho menino escolha escolha tudinho senhor pont ambulant risco foto vereador
Calendário JPB - Creche dos Bancários deve ser entregue depois da Semana Santa-5790501.wav,filho hora meio-dia crech bancário obra idad crei antônio bancário estrutura promessa crech pronta esperança pertinho pronta terminei resguardo consigo emprego segurança sala materi mesa construção coisa construção crech parquinho vidro janela detalh medo pequeno detalh caixa conclusão hidráulica elétrica obra materi sala inauguração semana santa pouquíssimo crech vida necessário escola obra dourado tranquilidad segurança ambient saudável tranquila obra próximo dia inauguração data
Resolvido - Calendário JPB 1 comemora terraplanagem de Rua Amesterdã-7542117.wav,cheia buraco trilha moto ninguém carro lixo envi vídeo obra terraplanagem caçamba materi conclusão luta casamento máquina vídeo acessibilidad cobrança pavimentação responsável luta colega responsável obra responsável obra serviço comunidad equip rápido record famosa reportagem queda cuidado pessoa bobeira caiaqu menino cara enxada agradeço rápido rápido caminhão mundo senhora feliz feliz resto lisinho ladeira risco pronto apelo buraqueira
Calendário JPB acompanha há seis anos obras em João Pessoa-7754927.wav,especi comunidad situação comunidad esperança burocracia público difícil impossível melhoria infraestrutura comunidad semana aniversário ninguém situação obra infraestrutura moradia cara felicidad melhor volta comunidad andamento obra começo calçamento bicicleta chinelo casamento frent abraço serviço estiloso freia segura casamento andar bicicleta homem lama fechadura senhor esperança verdad feliz calçamento causa chuva direitinho esperança chuva ruim obra legal saneamento tampa esgoto frent galeria pluviai ciclovia calçada bonito negócio rapaz andamento feliz vida verdad cobra andamento legal estrada
